date,sales
22-04-2024,126
23-04-2024,147
24-04-2024,138
25-04-2024,142
26-04-2024,139
27-04-2024,130
28-04-2024,142
29-04-2024,143
30-04-2024,148
01-05-2024,137
02-05-2024,151
03-05-2024,133
04-05-2024,142
05-05-2024,156
06-05-2024,141
07-05-2024,139
08-05-2024,140
09-05-2024,135
10-05-2024,123
11-05-2024,128
12-05-2024,119
13-05-2024,127
14-05-2024,119
15-05-2024,136
16-05-2024,125
17-05-2024,126
18-05-2024,133
19-05-2024,122
20-05-2024,128
21-05-2024,138
22-05-2024,122
23-05-2024,129
24-05-2024,130
25-05-2024,137
26-05-2024,125
27-05-2024,118
28-05-2024,126
29-05-2024,128
30-05-2024,130
31-05-2024,133
01-06-2024,127
02-06-2024,131
03-06-2024,133
04-06-2024,127
05-06-2024,144
06-06-2024,142
07-06-2024,132
08-06-2024,140
09-06-2024,129
10-06-2024,139
11-06-2024,145
12-06-2024,135
13-06-2024,145
14-06-2024,144
15-06-2024,149
16-06-2024,161
17-06-2024,152
18-06-2024,145
19-06-2024,138
20-06-2024,132
21-06-2024,133
22-06-2024,136
23-06-2024,137
24-06-2024,143
25-06-2024,140
26-06-2024,151
27-06-2024,144
28-06-2024,166
29-06-2024,160
30-06-2024,151
01-07-2024,142
02-07-2024,147
03-07-2024,142
04-07-2024,148
05-07-2024,148
06-07-2024,145
07-07-2024,137
08-07-2024,126
09-07-2024,127
10-07-2024,134
11-07-2024,134
12-07-2024,124
13-07-2024,129
14-07-2024,132
15-07-2024,124
16-07-2024,129
17-07-2024,129
18-07-2024,120
19-07-2024,127
20-07-2024,131
21-07-2024,139
22-07-2024,145
23-07-2024,130
24-07-2024,127
25-07-2024,133
26-07-2024,136
27-07-2024,139
28-07-2024,168
29-07-2024,160
30-07-2024,167
31-07-2024,168
01-08-2024,168
02-08-2024,160
03-08-2024,164
04-08-2024,152
05-08-2024,150
06-08-2024,144
07-08-2024,145
08-08-2024,162
09-08-2024,138
10-08-2024,149
11-08-2024,131
12-08-2024,132
13-08-2024,141
14-08-2024,138
15-08-2024,129
16-08-2024,126
17-08-2024,134
18-08-2024,126
19-08-2024,131
20-08-2024,130
21-08-2024,126
22-08-2024,145
23-08-2024,144
24-08-2024,126
25-08-2024,133
26-08-2024,126
27-08-2024,136
28-08-2024,127
29-08-2024,129
30-08-2024,133
31-08-2024,139
01-09-2024,127
02-09-2024,128
03-09-2024,125
04-09-2024,122
05-09-2024,138
06-09-2024,137
07-09-2024,127
08-09-2024,137
09-09-2024,151
10-09-2024,153
11-09-2024,138
12-09-2024,137
13-09-2024,147
14-09-2024,137
15-09-2024,142
16-09-2024,146
17-09-2024,136
18-09-2024,137
19-09-2024,110
20-09-2024,112
21-09-2024,113
22-09-2024,106
23-09-2024,125
24-09-2024,110
25-09-2024,114
26-09-2024,117
27-09-2024,130
28-09-2024,116
29-09-2024,131
30-09-2024,128
01-10-2024,122
02-10-2024,129
03-10-2024,129
04-10-2024,125
05-10-2024,128
06-10-2024,125
07-10-2024,128
08-10-2024,133
09-10-2024,144
10-10-2024,130
11-10-2024,151
12-10-2024,128
13-10-2024,133
14-10-2024,137
15-10-2024,137
16-10-2024,132
17-10-2024,132
18-10-2024,128
19-10-2024,125
20-10-2024,134
21-10-2024,134
22-10-2024,129
23-10-2024,138
24-10-2024,137
25-10-2024,143
26-10-2024,145
27-10-2024,136
28-10-2024,134
29-10-2024,140
30-10-2024,143
31-10-2024,140
01-11-2024,141
02-11-2024,150
03-11-2024,140
04-11-2024,146
05-11-2024,141
06-11-2024,139
07-11-2024,148
08-11-2024,150
09-11-2024,153
10-11-2024,160
11-11-2024,155
12-11-2024,158
13-11-2024,151
14-11-2024,153
15-11-2024,148
16-11-2024,148
17-11-2024,151
18-11-2024,141
19-11-2024,159
20-11-2024,143
21-11-2024,136
22-11-2024,146
23-11-2024,148
24-11-2024,150
25-11-2024,152
26-11-2024,149
27-11-2024,140
28-11-2024,142
29-11-2024,135
30-11-2024,144
01-12-2024,139
02-12-2024,133
03-12-2024,132
04-12-2024,136
05-12-2024,130
06-12-2024,125
07-12-2024,130
08-12-2024,131
09-12-2024,127
10-12-2024,125
11-12-2024,129
12-12-2024,117
13-12-2024,111
14-12-2024,110
15-12-2024,112
16-12-2024,117
17-12-2024,130
18-12-2024,134
19-12-2024,132
20-12-2024,133
21-12-2024,124
22-12-2024,128
23-12-2024,125
24-12-2024,130
25-12-2024,123
26-12-2024,130
27-12-2024,141
28-12-2024,136
29-12-2024,140
30-12-2024,144
